# {"timestamp": "2026-09-05T20:53:28", "model": "ornith-1.0-35b", "arch": "qwen35moe", "quantization": "IQ4_XS", "loaded_context": 32768, "max_context": 262144, "vram_used_mib": 20855, "vram_free_mib": 3284, "gpu_util_pct": 3, "gpu_temp_c": 42, "temperature": 0.6, "top_p": 0.95, "top_k": 20}
target_tokens,run,prompt_tokens,completion_tokens,reasoning_tokens,ttft_s,decode_tok_s,prefill_tok_s,generation_time_s,wall_time_s,finish_reason,vram_used_mib,vram_free_mib,gpu_temp_c,error
256,1,316,256,256,0.0997,137.67,3170.3,1.952,2.038,length,20855,3284,52,
256,2,316,256,256,0.099,136.23,3191.4,1.971,2.049,length,20855,3284,52,
256,3,316,256,256,0.0924,137.75,3418.5,1.944,2.006,length,20855,3284,53,
256,4,316,256,256,0.0893,138.21,3536.7,1.934,2.013,length,20855,3284,53,
256,5,317,256,256,0.0896,138.24,3539.3,1.934,2.012,length,20855,3284,53,
1024,1,1097,256,256,0.2225,136.88,4929.4,2.086,2.142,length,20855,3284,52,
1024,2,1097,256,256,0.2195,138.24,4997.8,2.064,2.16,length,20855,3284,54,
1024,3,1096,256,256,0.2295,139.16,4775.8,2.062,2.16,length,20855,3284,55,
1024,4,1096,256,256,0.216,137.35,5074.9,2.072,2.179,length,20855,3284,55,
1024,5,1097,256,256,0.2199,138.66,4987.5,2.059,2.16,length,20855,3284,55,
4096,1,4309,256,256,0.6356,137.05,6779.0,2.496,2.578,length,20855,3284,56,
4096,2,4308,256,256,0.6503,134.1,6624.4,2.552,2.682,length,20855,3284,56,
4096,3,4308,256,256,0.6286,137.32,6853.1,2.486,2.628,length,20855,3284,56,
4096,4,4308,256,256,0.6414,135.55,6716.7,2.523,2.653,length,20855,3284,57,
4096,5,4307,256,256,0.6389,136.43,6741.1,2.508,2.643,length,20855,3284,57,
8192,1,8568,256,256,1.2138,133.97,7058.7,3.117,3.267,length,20855,3284,58,
8192,2,8565,256,256,1.2271,130.72,6979.9,3.178,3.407,length,20855,3284,58,
8192,3,8569,256,256,1.216,135.16,7046.8,3.103,3.225,length,20855,3284,58,
8192,4,8568,256,256,1.2164,134.44,7043.9,3.113,3.278,length,20855,3284,58,
8192,5,8568,256,256,1.2179,134.08,7035.3,3.12,3.309,length,20855,3284,59,
16384,1,17116,256,256,2.4668,130.61,6938.6,4.419,4.632,length,20855,3284,59,
16384,2,17115,256,256,2.4786,129.98,6905.0,4.441,4.685,length,20855,3284,60,
16384,3,17120,256,256,2.4608,129.91,6957.0,4.424,4.66,length,20855,3284,60,
16384,4,17120,256,256,2.4619,130.49,6953.9,4.416,4.619,length,20855,3284,60,
16384,5,17117,256,256,2.4591,130.61,6960.6,4.411,4.624,length,20855,3284,60,
24576,1,25669,256,256,3.781,127.3,6788.9,5.784,6.041,length,20855,3284,61,
24576,2,25668,256,256,3.78,126.18,6790.5,5.801,6.11,length,20855,3284,58,
24576,3,25669,256,256,3.7801,127.8,6790.6,5.775,6.095,length,20855,3284,61,
24576,4,25668,256,256,3.7762,127.2,6797.3,5.781,6.095,length,20855,3284,61,
24576,5,25669,256,256,3.7835,127.12,6784.4,5.789,6.128,length,20855,3284,62,
