# {"timestamp": "2026-09-05T20:48:42", "model": "ornith-1.0-35b", "arch": "qwen35moe", "quantization": "IQ4_XS", "loaded_context": 32768, "max_context": 262144, "vram_used_mib": 20853, "vram_free_mib": 3286, "gpu_util_pct": 2, "gpu_temp_c": 41, "temperature": 0.6, "top_p": 0.95, "top_k": 20}
target_tokens,run,prompt_tokens,completion_tokens,reasoning_tokens,ttft_s,decode_tok_s,prefill_tok_s,generation_time_s,wall_time_s,finish_reason,vram_used_mib,vram_free_mib,gpu_temp_c,error
256,1,289,256,256,0.0888,138.0,3253.4,1.937,2.013,length,20853,3286,51,
256,2,289,256,256,0.0547,137.09,5279.8,1.915,1.924,length,20853,3286,52,
256,3,289,256,256,0.0559,138.35,5171.3,1.899,1.919,length,20853,3286,52,
256,4,289,256,256,0.057,137.52,5074.6,1.911,1.946,length,20853,3286,53,
256,5,289,256,256,0.0563,138.32,5133.4,1.9,1.919,length,20853,3286,52,
1024,1,1099,256,256,0.2291,138.43,4797.4,2.071,2.08,length,20853,3286,54,
1024,2,1099,256,256,0.0563,137.43,19511.1,1.912,1.923,length,20853,3286,54,
1024,3,1099,256,256,0.0548,139.03,20040.1,1.889,1.9,length,20853,3286,54,
1024,4,1099,256,256,0.057,138.28,19286.8,1.901,1.921,length,20853,3286,55,
1024,5,1099,256,256,0.0574,137.47,19144.7,1.912,1.923,length,20853,3286,55,
4096,1,4309,256,256,0.5788,136.49,7444.6,2.447,2.46,length,20853,3286,55,
4096,2,4309,256,256,0.0602,135.61,71606.6,1.941,1.963,length,20853,3286,55,
4096,3,4309,256,256,0.0579,135.46,74358.5,1.94,1.978,length,20853,3286,55,
4096,4,4309,256,256,0.0571,136.34,75507.7,1.927,1.936,length,20853,3286,55,
4096,5,4309,256,256,0.058,135.61,74275.2,1.938,1.976,length,20853,3286,56,
8192,1,8569,256,256,1.1643,133.83,7359.5,3.07,3.087,length,20853,3286,56,
8192,2,8569,256,256,0.062,132.98,138305.6,1.98,1.996,length,20853,3286,56,
8192,3,8569,256,256,0.0578,133.8,148191.1,1.964,1.99,length,20853,3286,56,
8192,4,8569,256,256,0.0588,132.67,145773.4,1.981,2.006,length,20853,3286,56,
8192,5,8569,256,256,0.059,134.32,145323.5,1.957,1.982,length,20853,3286,56,
16384,1,17119,256,256,2.4222,129.83,7067.5,4.386,4.421,length,20853,3286,57,
16384,2,17119,256,256,0.0603,130.27,284052.6,2.018,2.043,length,20853,3286,57,
16384,3,17119,256,256,0.0586,129.76,292158.0,2.024,2.056,length,20853,3286,56,
16384,4,17119,256,256,0.0592,130.02,289138.1,2.02,2.052,length,20853,3286,56,
16384,5,17119,256,256,0.0586,128.71,291993.6,2.04,2.073,length,20853,3286,56,
24576,1,25669,256,256,1.4621,125.44,17556.7,3.495,3.575,length,20853,3286,57,
24576,2,25669,256,256,0.0612,126.31,419510.4,2.08,2.159,length,20853,3286,57,
24576,3,25669,256,256,0.0607,126.43,422966.6,2.078,2.14,length,20853,3286,56,
24576,4,25669,256,256,0.0619,125.67,414671.6,2.091,2.171,length,20853,3286,56,
24576,5,25669,256,256,0.0598,126.26,429046.6,2.079,2.145,length,20853,3286,56,
