task,max_tokens,run,reasoning_tokens,completion_tokens,answer_chars,finish_reason,empty_answer
trivial,64,1,64,64,0,length,1
trivial,64,2,64,64,0,length,1
trivial,64,3,64,64,0,length,1
trivial,64,4,64,64,0,length,1
trivial,64,5,64,64,0,length,1
trivial,128,1,128,128,0,length,1
trivial,128,2,128,128,0,length,1
trivial,128,3,114,119,4,stop,0
trivial,128,4,124,128,4,length,0
trivial,128,5,128,128,0,length,1
trivial,256,1,127,132,4,stop,0
trivial,256,2,112,117,4,stop,0
trivial,256,3,123,128,4,stop,0
trivial,256,4,164,169,4,stop,0
trivial,256,5,140,145,4,stop,0
trivial,512,1,140,145,4,stop,0
trivial,512,2,127,132,4,stop,0
trivial,512,3,117,122,4,stop,0
trivial,512,4,119,124,4,stop,0
trivial,512,5,147,152,4,stop,0
trivial,1024,1,146,151,4,stop,0
trivial,1024,2,111,116,4,stop,0
trivial,1024,3,103,108,4,stop,0
trivial,1024,4,131,136,4,stop,0
trivial,1024,5,161,166,4,stop,0
trivial,2048,1,146,151,4,stop,0
trivial,2048,2,120,125,4,stop,0
trivial,2048,3,116,121,4,stop,0
trivial,2048,4,141,146,4,stop,0
trivial,2048,5,100,105,4,stop,0
moderate,64,1,64,64,0,length,1
moderate,64,2,64,64,0,length,1
moderate,64,3,64,64,0,length,1
moderate,64,4,64,64,0,length,1
moderate,64,5,64,64,0,length,1
moderate,128,1,128,128,0,length,1
moderate,128,2,128,128,0,length,1
moderate,128,3,128,128,0,length,1
moderate,128,4,128,128,0,length,1
moderate,128,5,128,128,0,length,1
moderate,256,1,256,256,0,length,1
moderate,256,2,256,256,0,length,1
moderate,256,3,256,256,0,length,1
moderate,256,4,256,256,0,length,1
moderate,256,5,256,256,0,length,1
moderate,512,1,512,512,0,length,1
moderate,512,2,512,512,0,length,1
moderate,512,3,308,314,3,stop,0
moderate,512,4,512,512,0,length,1
moderate,512,5,373,379,3,stop,0
moderate,1024,1,377,383,3,stop,0
moderate,1024,2,566,572,3,stop,0
moderate,1024,3,317,323,3,stop,0
moderate,1024,4,401,407,3,stop,0
moderate,1024,5,378,384,3,stop,0
moderate,2048,1,658,664,3,stop,0
moderate,2048,2,745,751,3,stop,0
moderate,2048,3,640,646,3,stop,0
moderate,2048,4,493,499,3,stop,0
moderate,2048,5,306,312,3,stop,0
