level,question,run,reasoning_tokens,completion_tokens,answer_tokens,answer_chars,finish_reason,empty_answer
1_trivial,0,1,177,182,5,4,stop,0
1_trivial,0,2,145,150,5,4,stop,0
1_trivial,0,3,142,147,5,4,stop,0
1_trivial,1,1,181,185,4,1,stop,0
1_trivial,1,2,106,110,4,1,stop,0
1_trivial,1,3,136,140,4,1,stop,0
1_trivial,2,1,196,200,4,5,stop,0
1_trivial,2,2,117,121,4,5,stop,0
1_trivial,2,3,129,133,4,5,stop,0
2_easy,0,1,410,427,17,53,stop,0
2_easy,0,2,319,335,16,34,stop,0
2_easy,0,3,523,593,70,254,stop,0
2_easy,1,1,93,97,4,5,stop,0
2_easy,1,2,183,187,4,5,stop,0
2_easy,1,3,158,162,4,5,stop,0
2_easy,2,1,478,484,6,3,stop,0
2_easy,2,2,449,455,6,3,stop,0
2_easy,2,3,444,450,6,3,stop,0
3_medium,0,1,1935,2035,100,255,stop,0
3_medium,0,2,1289,1383,94,279,stop,0
3_medium,0,3,1568,1658,90,257,stop,0
3_medium,1,1,552,649,97,579,stop,0
3_medium,1,2,444,551,107,633,stop,0
3_medium,1,3,1151,1280,129,773,stop,0
3_medium,2,1,1907,2048,141,564,length,0
3_medium,2,2,1403,1946,543,2046,stop,0
3_medium,2,3,1580,2048,468,1662,length,0
4_hard,0,1,2036,2048,12,32,length,0
4_hard,0,2,1597,2048,451,1804,length,0
4_hard,0,3,1940,2048,108,391,length,0
4_hard,1,1,1187,1637,450,1437,stop,0
4_hard,1,2,1132,1504,372,1277,stop,0
4_hard,1,3,1145,1535,390,1330,stop,0
4_hard,2,1,2048,2048,0,0,length,1
4_hard,2,2,2048,2048,0,0,length,1
4_hard,2,3,2048,2048,0,0,length,1
