# {"timestamp": "2026-09-05T22:48:13", "model": "ornith-1.0-35b", "arch": "qwen35moe", "quantization": "IQ4_XS", "loaded_context": 32768, "max_context": 262144, "vram_used_mib": 21086, "vram_free_mib": 3053, "gpu_util_pct": 5, "gpu_temp_c": 41, "temperature": 0.6, "top_p": 0.95, "top_k": 20}
mode,run,strict_json,lenient_json,schema_valid,had_fence,finish_reason,reasoning_tokens,answer_chars,error
prompt,1,1,1,1,0,stop,1403,268,
prompt,2,1,1,1,0,stop,1105,272,
prompt,3,1,1,1,0,stop,1143,267,
prompt,4,1,1,1,0,stop,1280,259,
prompt,5,1,1,1,0,stop,1292,272,
prompt,6,1,1,1,0,stop,1343,267,
prompt,7,1,1,1,0,stop,1556,272,
prompt,8,1,1,1,0,stop,1324,259,
prompt,9,1,1,1,0,stop,1552,272,
prompt,10,1,1,1,0,stop,1115,259,
prompt,11,1,1,1,0,stop,1498,275,
prompt,12,1,1,1,0,stop,1406,268,
prompt,13,1,1,1,0,stop,1538,259,
prompt,14,1,1,1,0,stop,1328,272,
prompt,15,1,1,1,0,stop,1291,272,
prompt,16,1,1,1,0,stop,1318,272,
prompt,17,1,1,1,0,stop,1043,272,
prompt,18,1,1,1,0,stop,1310,260,
prompt,19,1,1,1,0,stop,1312,263,
prompt,20,1,1,1,0,stop,1128,272,
prompt,21,1,1,1,0,stop,1161,263,
prompt,22,1,1,1,0,stop,1186,244,
prompt,23,1,1,1,0,stop,1206,272,
prompt,24,1,1,1,0,stop,1087,272,
prompt,25,1,1,1,0,stop,1365,268,
prompt,26,1,1,1,0,stop,1166,272,
prompt,27,1,1,1,0,stop,1736,259,
prompt,28,1,1,1,0,stop,1469,272,
prompt,29,1,1,1,0,stop,1333,272,
prompt,30,1,1,1,0,stop,1309,262,
schema,1,1,1,1,0,stop,1786,259,
schema,2,1,1,1,0,stop,1349,245,
schema,3,1,1,1,0,stop,1435,269,
schema,4,1,1,1,0,stop,1861,220,
schema,5,1,1,1,0,stop,1619,244,
schema,6,1,1,1,0,stop,1289,277,
schema,7,1,1,1,0,stop,1470,246,
schema,8,1,1,1,0,stop,1468,254,
schema,9,1,1,1,0,stop,1178,277,
schema,10,1,1,1,0,stop,1736,272,
schema,11,1,1,1,0,stop,1261,229,
schema,12,1,1,1,0,stop,1019,249,
schema,13,1,1,1,0,stop,1790,259,
schema,14,1,1,1,0,stop,1242,237,
schema,15,1,1,1,0,stop,1582,258,
schema,16,1,1,1,0,stop,1734,259,
schema,17,1,1,1,0,stop,1502,260,
schema,18,1,1,1,0,stop,1405,267,
schema,19,1,1,1,0,stop,1947,246,
schema,20,1,1,1,0,stop,1672,230,
schema,21,1,1,1,0,stop,1721,256,
schema,22,1,1,1,0,stop,1524,253,
schema,23,1,1,1,0,stop,1089,276,
schema,24,1,1,1,0,stop,1771,225,
schema,25,1,1,1,0,stop,1311,254,
schema,26,1,1,1,0,stop,1809,270,
schema,27,1,1,1,0,stop,1601,234,
schema,28,1,1,1,0,stop,1498,200,
schema,29,1,1,1,0,stop,1473,241,
schema,30,1,1,1,0,stop,1709,249,
